Driver,AKB,B3,BY,CE,FB,FR,G5,KN,LD,OE,PP,PUP,S6,SI,SK,SX,UN,VC,VT,WA,WH,AKB_probability,B3_probability,BY_probability,CE_probability,FB_probability,FR_probability,G5_probability,KN_probability,LD_probability,OE_probability,PP_probability,PUP_probability,S6_probability,SI_probability,SK_probability,SX_probability,UN_probability,VC_probability,VT_probability,WA_probability,WH_probability,average_probability,normalized_probability,quali_points,xPts
Lando Norris,47/25,9/4,9/4,7/4,5/4,15/8,9/4,7/4,7/4,9/4,9/4,47/25,15/8,7/5,5/4,7/5,7/4,9/4,5/4,5/4,2,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,29.696925711795707,10,2.9696925711795705
Charles Leclerc,3,3,3,4,9/4,3,3,13/4,4,3,3,3,3,12/5,9/4,12/5,13/4,3,9/4,9/4,10/3,0.25,0.25,0.25,0.2,,0.25,0.25,,0.2,0.25,0.25,0.25,0.25,,,,,0.25,,,,0.24166666666666667,21.530271141051887,12,2.5836325369262267
Oscar Piastri,4,4,7/2,7/2,9/2,4,7/2,7/2,7/2,4,4,4,4,9/2,9/2,9/2,7/2,7/2,9/2,9/2,3,0.2,0.2,,,,0.2,,,,0.2,0.2,0.2,0.2,,,,,,,,0.25,0.20625,18.374972784173593,14,2.572496189784303
Max Verstappen,11/4,11/4,11/4,7/2,12,11/4,11/4,13/4,7/2,11/4,13/5,11/4,11/4,10,12,10,13/4,11/4,12,12,3,,,,,0.07692307692307693,,,,,,,,,0.09090909090909091,0.07692307692307693,0.09090909090909091,,,0.07692307692307693,0.07692307692307693,0.25,0.10564435564435566,9.411937744322866,12,1.129432529318744
George Russell,16,12,16,8,20,16,16,10,8,12,12,16,16,18,20,18,10,16,20,20,16,0.058823529411764705,0.07692307692307693,0.058823529411764705,0.1111111111111111,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.09090909090909091,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.058823529411764705,0.058823529411764705,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.09090909090909091,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.0667208199273657,5.944209698439233,16,0.9510735517502773
Lewis Hamilton,16,20,20,22,14,16,20,14,22,20,20,16,16,11,14,11,14,20,14,14,20,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.043478260869565216,0.06666666666666667,0.058823529411764705,0.047619047619047616,0.06666666666666667,0.043478260869565216,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.047619047619047616,0.06666666666666667,0.06666666666666667,0.047619047619047616,0.05820241139934234,5.185298062720923,14,0.7259417287809292
Carlos Sainz,40,40,40,40,40,40,40,50,40,40,40,40,40,20,40,20,50,40,40,40,40,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.047619047619047616,0.024390243902439025,0.047619047619047616,0.0196078431372549,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.02614704418352707,2.3294604861037302,28,0.6522489361090444
Kimi Antonelli,50,66,66,40,50,50,66,60,40,66,70,50,50,40,50,40,60,66,50,50,66,0.0196078431372549,0.014925373134328358,0.014925373134328358,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.014925373134328358,0.01639344262295082,0.024390243902439025,0.014925373134328358,0.014084507042253521,0.0196078431372549,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.01639344262295082,0.014925373134328358,0.0196078431372549,0.0196078431372549,0.014925373134328358,0.018611778657234315,1.6581378244448168,18,0.298464808400067
Liam Lawson,100,100,100,300,50,100,100,150,300,100,125,100,100,40,50,40,150,100,50,50,100,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0033222591362126247,0.0196078431372549,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.0033222591362126247,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.006622516556291391,0.009900990099009901,0.0196078431372549,0.0196078431372549,0.009900990099009901,0.012097515269786316,1.0777770367924753,20,0.21555540735849504
Alex Albon,100,100,100,100,70,100,100,100,100,100,125,100,100,80,66,80,100,100,66,66,100,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.014084507042253521,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.012345679012345678,0.014925373134328358,0.012345679012345678,0.009900990099009901,0.009900990099009901,0.014925373134328358,0.014925373134328358,0.009900990099009901,0.010957254942503644,0.9761903580982112,32,0.3123809145914276
