Driver,AKB,B3,BY,CE,FB,FR,G5,KN,LD,OE,PP,PUP,S6,SI,SK,SX,UN,VC,VT,WA,WH
Lando Norris,47/25,9/4,9/4,7/4,5/4,15/8,9/4,7/4,7/4,9/4,9/4,47/25,15/8,7/5,5/4,7/5,7/4,9/4,5/4,5/4,2
Charles Leclerc,3,3,3,4,9/4,3,3,13/4,4,3,3,3,3,12/5,9/4,12/5,13/4,3,9/4,9/4,10/3
Oscar Piastri,4,4,7/2,7/2,9/2,4,7/2,7/2,7/2,4,4,4,4,9/2,9/2,9/2,7/2,7/2,9/2,9/2,3
Max Verstappen,11/4,11/4,11/4,7/2,12,11/4,11/4,13/4,7/2,11/4,13/5,11/4,11/4,10,12,10,13/4,11/4,12,12,3
George Russell,16,12,16,8,20,16,16,10,8,12,12,16,16,18,20,18,10,16,20,20,16
Lewis Hamilton,16,20,20,22,14,16,20,14,22,20,20,16,16,11,14,11,14,20,14,14,20
Carlos Sainz,40,40,40,40,40,40,40,50,40,40,40,40,40,20,40,20,50,40,40,40,40
Kimi Antonelli,50,66,66,40,50,50,66,60,40,66,70,50,50,40,50,40,60,66,50,50,66
Alex Albon,100,100,100,100,70,100,100,100,100,100,125,100,100,80,66,80,100,100,66,66,100
Yuki Tsunoda,200,100,150,150,70,200,150,150,150,150,125,200,200,80,66,80,150,150,66,66,100
Isack Hadjar,225,150,150,200,125,200,150,250,200,150,175,225,225,200,100,200,250,150,100,125,150
Fernando Alonso,200,125,100,250,125,200,100,150,250,100,150,200,200,80,100,80,150,100,100,125,150
Pierre Gasly,200,150,150,250,175,200,150,250,250,150,175,200,200,150,150,150,250,150,150,150,150
Liam Lawson,100,100,100,300,50,100,100,150,300,100,125,100,100,40,50,40,150,100,50,50,100
Nico Hulkenberg,500,500,500,300,500,500,500,500,300,500,500,500,500,400,1000,400,500,500,1000,500,500
Lance Stroll,225,150,150,500,175,200,150,250,500,150,175,225,225,200,150,200,250,150,150,150,200
Gabriel Bortoleto,750,500,500,250,500,500,500,1000,250,500,500,750,750,1000,2000,1000,1000,500,2000,1000,500
Jack Doohan,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,500,500,1000,500,500
Esteban Ocon,400,500,500,1500,500,400,500,1000,1500,500,500,400,400,400,50,400,1000,500,500,500,500
Oliver Bearman,1000,1000,1000,2500,500,1000,1000,1000,2500,1000,500,1000,1000,N/A,2000,N/A,1000,1500,2000,1000,750
