Driver,B3,SK,PP,WH,FB,VC,LD,BY,OE,WA,CE,VT,UN,KN,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,BY_probability,OE_probability,WA_probability,CE_probability,VT_probability,UN_probability,KN_probability,average_probability,normalized_probability
No Retirement,4.333333333333334,4.333333333333334,4.2,5,4.2,4.333333333333334,4.25,4.333333333333334,4.5,4.333333333333334,4.25,4.333333333333334,,,0.18749999999999997,0.18749999999999997,0.1923076923076923,0.16666666666666666,0.1923076923076923,0.18749999999999997,0.19047619047619047,0.18749999999999997,0.18181818181818182,0.18749999999999997,0.19047619047619047,0.18749999999999997,,,0.18658771783771785,14.993101340979937
Isack Hadjar,10.0,10.0,10.0,11,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.1,0.1,0.08966866466866467,7.205251192669178
Oliver Bearman,10.0,10.0,10.0,9,10.0,10.0,12.0,10.0,12.0,9.0,12.0,10.0,9.0,9.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.1,0.07692307692307693,0.09090909090909091,0.1,0.1,0.09050949050949052,7.272815055862901
Jack Doohan,10.0,10.0,10.0,8,10.0,10.0,12.0,10.5,10.0,9.0,12.0,10.0,9.0,9.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.08695652173913043,0.09090909090909091,0.1,0.07692307692307693,0.09090909090909091,0.1,0.1,0.09201981593285942,7.394176002836502
Gabriel Bortoleto,10.0,10.0,10.0,10,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0889110889110889,7.1443768208807725
Kimi Antonelli,14.0,14.0,13.0,18,13.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.05263157894736842,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.058823529411764705,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06578420842021018,5.286035516754571
Lance Stroll,20.0,20.0,18.0,20,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.05263157894736842,0.049051199427139265,3.941468454785143
Pierre Gasly,20.0,20.0,18.0,20,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.04833512352309345,3.883928769313828
Yuki Tsunoda,20.0,20.0,18.0,20,18.0,20.0,16.0,20.0,20.0,20.0,16.0,20.0,16.0,16.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.05153640403529832,4.141165010244416
Nico Hulkenberg,20.0,20.0,18.0,20,18.0,20.0,20.0,20.0,18.0,20.0,20.0,20.0,18.0,18.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.05263157894736842,0.04940923737916219,3.9702382975208015
