Driver,B3,SK,PP,WH,FB,VC,LD,UN,SX,KN,BY,OE,S6,PUP,SI,WA,CE,VT,AKB,BF,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,UN_probability,SX_probability,KN_probability,BY_probability,OE_probability,S6_probability,PUP_probability,SI_probability,WA_probability,CE_probability,VT_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Lando Norris,1.9090909090909087,1.0,1.9090909090909087,1.95,1.9090909090909087,1.9090909090909087,1,1.95,1.0,1.95,1.0,1.0,1.0,1.0,1.0,1.0,1,1.95,1.0,1.9523809523809523,0.34375000000000006,0.5,0.34375000000000006,0.3389830508474576,0.34375000000000006,0.34375000000000006,0.5,0.3389830508474576,0.5,0.3389830508474576,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3389830508474576,0.5,0.3387096774193548,0.4284820940404592,37.4348699668354,10,3.74348699668354
Oscar Piastri,3.75,3.75,3.6,3.0,3.6,3.75,3,3.75,3.0,3.75,3.0,3.75,4.333333333333334,4.333333333333334,3.0,3.75,3,3.75,4.333333333333334,3.6,0.21052631578947367,0.21052631578947367,0.2173913043478261,0.25,0.2173913043478261,0.21052631578947367,0.25,0.21052631578947367,0.25,0.21052631578947367,0.25,0.21052631578947367,0.18749999999999997,0.18749999999999997,0.25,0.21052631578947367,0.25,0.21052631578947367,0.18749999999999997,0.2173913043478261,0.2199442219679634,19.215699941361002,14,2.6901979917905403
Lewis Hamilton,5.0,4.0,5.0,5.5,5.0,5.0,5,5.0,6.5,5.0,5.5,5.5,4.5,4.5,6.5,4.5,5,5.5,4.5,5.9,0.16666666666666666,0.2,0.16666666666666666,0.15384615384615385,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.15384615384615385,0.15384615384615385,0.18181818181818182,0.18181818181818182,0.13333333333333333,0.18181818181818182,0.16666666666666666,0.15384615384615385,0.18181818181818182,0.14492753623188406,0.16437924394446132,14.36119667051147,14,2.0105675338716056
Max Verstappen,9.5,10.0,9.5,11.0,9.5,8.0,7,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,7,8.0,8.0,6.88,0.09523809523809523,0.09090909090909091,0.09523809523809523,0.08333333333333333,0.09523809523809523,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.125,0.1111111111111111,0.1111111111111111,0.12690355329949238,0.10749957881937577,9.391834129276166,12,1.12702009551314
Charles Leclerc,9.5,10.0,9.5,12.0,9.5,8.0,7,7.0,10.0,7.0,8.0,9.0,8.0,8.0,10.0,9.0,7,8.0,8.0,10.8,0.09523809523809523,0.09090909090909091,0.09523809523809523,0.07692307692307693,0.09523809523809523,0.1111111111111111,0.125,0.125,0.09090909090909091,0.125,0.1111111111111111,0.1,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.1,0.125,0.1111111111111111,0.1111111111111111,0.0847457627118644,0.1043388532371583,9.115693415774171,12,1.0938832098929006
George Russell,25.0,20.0,25.0,20.0,25.0,25.0,16,14.0,20.0,14.0,20.0,20.0,16.0,16.0,20.0,20.0,16,20.0,16.0,38.0,0.038461538461538464,0.047619047619047616,0.038461538461538464,0.047619047619047616,0.038461538461538464,0.038461538461538464,0.058823529411764705,0.06666666666666667,0.047619047619047616,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.02564102564102564,0.04939452704158586,4.3154141622088495,16,0.690466265953416
Kimi Antonelli,66.0,50.0,66.0,50.0,66.0,66.0,66,50.0,28.0,50.0,50.0,50.0,50.0,50.0,28.0,50.0,66,50.0,50.0,19.6,0.014925373134328358,0.0196078431372549,0.014925373134328358,0.0196078431372549,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0196078431372549,0.034482758620689655,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.034482758620689655,0.0196078431372549,0.014925373134328358,0.0196078431372549,0.0196078431372549,0.04854368932038835,0.021137385993877083,1.8466939625366952,18,0.33240491325660515
Alex Albon,125.0,100.0,125.0,50.0,125.0,125.0,125,100.0,150.0,100.0,100.0,100.0,100.0,100.0,150.0,100.0,125,100.0,100.0,53.0,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.0196078431372549,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.018518518518518517,0.009900017168875142,0.8649272876062928,32,0.2767767320340137
Carlos Sainz,125.0,100.0,125.0,125.0,125.0,125.0,150,100.0,150.0,100.0,100.0,100.0,100.0,100.0,150.0,100.0,150,100.0,100.0,53.0,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.018518518518518517,0.00918505127081614,0.8024634045250241,28,0.22468975326700671
Yuki Tsunoda,300.0,250.0,300.0,200.0,300.0,250.0,150,250.0,200.0,250.0,250.0,250.0,225.0,225.0,200.0,200.0,150,250.0,225.0,53.0,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.004975124378109453,0.0033222591362126247,0.00398406374501992,0.006622516556291391,0.00398406374501992,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.004424778761061947,0.004424778761061947,0.004975124378109453,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.004424778761061947,0.018518518518518517,0.0051396804525251135,0.44903456197447483,40,0.17961382478978993
Liam Lawson,300.0,250.0,300.0,250.0,300.0,250.0,500,250.0,200.0,250.0,250.0,250.0,300.0,300.0,200.0,250.0,500,250.0,300.0,68.0,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.0033222591362126247,0.0033222591362126247,0.004975124378109453,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.0033222591362126247,0.014492753623188406,0.00421125734349631,0.3679217247192113,20,0.07358434494384226
Fernando Alonso,750.0,500.0,500.0,500.0,500.0,500.0,150,100.0,400.0,100.0,500.0,500.0,400.0,400.0,400.0,500.0,150,500.0,400.0,53.0,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.006622516556291391,0.009900990099009901,0.0024937655860349127,0.009900990099009901,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.001996007984031936,0.006622516556291391,0.001996007984031936,0.0024937655860349127,0.018518518518518517,0.004166499476917636,0.36401139815324884,43,0.15652490120589702
Lance Stroll,750.0,500.0,500.0,250.0,500.0,500.0,250,250.0,400.0,250.0,500.0,500.0,500.0,500.0,400.0,500.0,250,500.0,500.0,53.0,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.00398406374501992,0.0024937655860349127,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.018518518518518517,0.0033357007081404435,0.2914276325528957,46,0.13405671097433203
