Driver,B3,SK,PP,WH,FB,LD,FR,BY,OE,S6,PUP,WA,CE,AKB,BF
Lando Norris,1.25,1.3636363636363638,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2857142857142856,1.25,1.25,1.25,1.25,1.25,1.2222222222222223,1.2857142857142856,1.25,1.25
Oscar Piastri,1.3636363636363638,1.5333333333333332,1.3333333333333333,1.3636363636363638,1.3333333333333333,1.3636363636363638,1.4,1.3636363636363638,1.3599999999999999,1.4,1.4,1.3636363636363638,1.3636363636363638,1.4,1.4444444444444444
Max Verstappen,1.6153846153846154,1.5333333333333332,1.5714285714285714,1.6153846153846154,1.5714285714285714,1.9090909090909092,1.6153846153846154,1.6153846153846154,1.6153846153846154,1.6153846153846154,1.6153846153846154,1.6153846153846154,1.9090909090909092,1.6153846153846154,1.6666666666666665
Charles Leclerc,2.75,2.2,2.75,2.375,2.75,2.35,2.625,2.75,2.75,2.625,2.625,2.625,2.35,2.625,2.25
George Russell,3.5,3.25,3.5,3.25,3.5,3.5,2,3.5,3.5,2,2,3.4,3.5,2,2.25
Lewis Hamilton,3.5,3,3.5,3.5,3.5,3.5,3.75,3.5,3.5,3.75,3.75,3.5,3.5,3.75,2.9
Kimi Antonelli,6.5,5,6.5,6,6.5,6,6.5,6.5,6.5,6.5,6.5,6.5,6,6.5,2.9
Alex Albon,20,20,20,20,20,25,20,20,20,20,20,20,25,20,3.8
Carlos Sainz,25,20,25,25,25,25,25,25,25,25,25,25,25,25,3.8
Yuki Tsunoda,20,28,20,20,20,50,25,20,20,25,25,20,50,25,14.7
Fernando Alonso,66,66,70,66,70,40,66,66,66,66,66,66,40,66,34
Liam Lawson,33,28,30,40,30,80,33,33,33,33,33,33,80,33,3.8
Nico Hulkenberg,100,66,125,100,125,80,100,100,100,100,100,100,80,100,14.7
Pierre Gasly,33,40,30,33,30,150,33,33,33,33,33,33,150,33,14.7
Lance Stroll,66,66,70,66,70,150,80,66,66,80,80,66,150,80,14.7
Esteban Ocon,200,100,225,200,225,300,150,200,200,175,175,200,300,175,14.7
Jack Doohan,200,100,225,200,225,300,150,200,200,175,175,200,300,175,14.7
Isack Hadjar,200,100,225,200,225,500,150,200,200,175,175,200,500,175,14.7
Oliver Bearman,200,100,225,200,225,500,250,200,200,250,250,200,500,250,14.7
Gabriel Bortoleto,200,100,225,200,225,750,150,200,200,175,175,200,750,175,14.7
