Driver,B3,SK,PP,WH,FB,VC,LD,UN,KN,BY,OE,S6,PUP,WA,CE,VT,AKB,BF,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,UN_probability,KN_probability,BY_probability,OE_probability,S6_probability,PUP_probability,WA_probability,CE_probability,VT_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Lando Norris,1.25,1.3333333333333333,1.2222222222222223,1.3333333333333333,1.2222222222222223,1.2857142857142856,1.3636363636363638,1.3,1.3,1.25,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3636363636363638,1.25,1.3333333333333333,1.2857142857142856,0.4444444444444444,0.4285714285714286,0.44999999999999996,0.4285714285714286,0.44999999999999996,0.4375,0.4230769230769231,0.4347826086956522,0.4347826086956522,0.4444444444444444,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.4230769230769231,0.4444444444444444,0.4285714285714286,0.4375,0.4346695776043602,17.369231372091114,10,1.7369231372091116
Oscar Piastri,1.3636363636363638,1.5,1.3333333333333333,1.4444444444444444,1.3333333333333333,1.4444444444444444,1.5714285714285714,1.4444444444444444,1.4444444444444444,1.3636363636363638,1.5,1.5333333333333332,1.5333333333333332,1.5,1.5714285714285714,,1.5333333333333332,1.25,0.4230769230769231,0.4,0.4285714285714286,0.40909090909090906,0.4285714285714286,0.40909090909090906,0.38888888888888895,0.40909090909090906,0.40909090909090906,0.4230769230769231,0.4,0.39473684210526316,0.39473684210526316,0.4,0.38888888888888895,,0.39473684210526316,0.4444444444444444,0.4085937110704912,16.327249640701606,14,2.2858149496982247
Lewis Hamilton,2.1,2.1,2.1,1.9090909090909087,2.1,2.1,2.1,2.25,2.25,2.1,2.1,1.0,1.0,1.0,2.1,2.1,1.0,2.7,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.34375000000000006,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3076923076923077,0.3076923076923077,0.3225806451612903,0.3225806451612903,0.5,0.5,0.5,0.3225806451612903,0.3225806451612903,0.5,0.27027027027027023,0.35862285207043265,14.330433078066115,14,2.006260630929256
Max Verstappen,1.9090909090909087,1.9090909090909087,1.8333333333333333,1.0,1.8333333333333333,1.9090909090909087,2.1,1.7,1.7,1.9090909090909087,1.9090909090909087,1.8,1.8,1.8333333333333333,2.1,1.9,1.8,2.25,0.34375000000000006,0.34375000000000006,0.35294117647058826,0.5,0.35294117647058826,0.34375000000000006,0.3225806451612903,0.37037037037037035,0.37037037037037035,0.34375000000000006,0.34375000000000006,0.35714285714285715,0.35714285714285715,0.35294117647058826,0.3225806451612903,0.3448275862068966,0.35714285714285715,0.3076923076923077,0.3548568903223812,14.179946675726066,12,1.701593601087128
Charles Leclerc,2.0,2.75,2.0,2.875,2.0,2.75,2.65,2.75,2.75,2.75,2.75,2.875,2.88,2.8,2.65,2.75,2.88,2.625,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.25806451612903225,0.3333333333333333,0.26666666666666666,0.273972602739726,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.25806451612903225,0.2577319587628866,0.2631578947368421,0.273972602739726,0.26666666666666666,0.2577319587628866,0.27586206896551724,0.27695693253512865,11.067093924125194,12,1.3280512708950232
George Russell,3.5,3.25,3.5,3.25,3.5,3.25,3.5,3.25,3.25,3.25,3.25,2.0,2.0,3.1,3.5,3.25,2.0,2.25,0.2222222222222222,0.23529411764705882,0.2222222222222222,0.23529411764705882,0.2222222222222222,0.23529411764705882,0.2222222222222222,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.3333333333333333,0.3333333333333333,0.24390243902439027,0.2222222222222222,0.23529411764705882,0.3333333333333333,0.3076923076923077,0.2525032666113488,10.089934713520039,16,1.6143895541632063
Kimi Antonelli,9.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,9.5,9.5,8.0,8.0,8.0,9.5,2.9,0.1,0.1111111111111111,0.1,0.1111111111111111,0.1,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.09523809523809523,0.09523809523809523,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09523809523809523,0.25641025641025644,0.11244126244126244,4.493110177795694,18,0.808759832003225
Alex Albon,20.0,16.0,20.0,16.0,20.0,16.0,20.0,25.0,25.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,14.7,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.038461538461538464,0.038461538461538464,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.06369426751592357,0.05371932648066031,2.1466039006869995,32,0.6869132482198398
Yuki Tsunoda,20.0,16.0,20.0,16.0,20.0,16.0,25.0,25.0,25.0,16.0,16.0,20.0,20.0,16.0,25.0,16.0,20.0,14.7,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.058823529411764705,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.038461538461538464,0.058823529411764705,0.047619047619047616,0.06369426751592357,0.050834411831039775,2.031323806059343,40,0.8125295224237371
Carlos Sainz,28.0,25.0,25.0,25.0,25.0,25.0,25.0,33.0,33.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,14.7,0.034482758620689655,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.06369426751592357,0.038636783000550914,1.5439111867651303,28,0.43229513229423644
Fernando Alonso,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,63.0,0.034482758620689655,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.015625,0.03697179855585028,1.477379040185365,43,0.6352729872797069
Lance Stroll,28.0,25.0,25.0,28.0,25.0,25.0,50.0,40.0,40.0,25.0,25.0,33.0,33.0,28.0,50.0,25.0,33.0,14.7,0.034482758620689655,0.038461538461538464,0.038461538461538464,0.034482758620689655,0.038461538461538464,0.038461538461538464,0.0196078431372549,0.024390243902439025,0.024390243902439025,0.038461538461538464,0.038461538461538464,0.029411764705882353,0.029411764705882353,0.034482758620689655,0.0196078431372549,0.038461538461538464,0.029411764705882353,0.06369426751592357,0.034033598933655373,1.3599696982742873,46,0.6255860612061721
Liam Lawson,100.0,66.0,100.0,66.0,100.0,66.0,66.0,80.0,80.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,3.8,0.009900990099009901,0.014925373134328358,0.009900990099009901,0.014925373134328358,0.009900990099009901,0.014925373134328358,0.014925373134328358,0.012345679012345678,0.012345679012345678,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.20833333333333334,0.024546229959277483,0.9808580343373184,20,0.1961716068674637
Pierre Gasly,125.0,100.0,125.0,125.0,125.0,100.0,150.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,100.0,100.0,14.7,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.06369426751592357,0.012088679081313721,0.483059028661567,40,0.19322361146462683
Nico Hulkenberg,125.0,100.0,125.0,100.0,125.0,100.0,150.0,200.0,200.0,100.0,100.0,150.0,150.0,100.0,150.0,100.0,150.0,14.7,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.004975124378109453,0.004975124378109453,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.06369426751592357,0.011104086308677366,0.4437150751015698,60,0.2662290450609419
Oliver Bearman,125.0,100.0,125.0,100.0,125.0,100.0,150.0,200.0,200.0,100.0,100.0,175.0,175.0,125.0,150.0,100.0,175.0,14.7,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.004975124378109453,0.004975124378109453,0.009900990099009901,0.009900990099009901,0.005681818181818182,0.005681818181818182,0.007936507936507936,0.006622516556291391,0.009900990099009901,0.005681818181818182,0.06369426751592357,0.010838165348348385,0.4330889744388572,45,0.19489003849748573
Isack Hadjar,250.0,200.0,275.0,200.0,275.0,200.0,250.0,400.0,400.0,200.0,200.0,175.0,175.0,200.0,250.0,100.0,175.0,14.7,0.00398406374501992,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.00398406374501992,0.0024937655860349127,0.0024937655860349127,0.004975124378109453,0.004975124378109453,0.005681818181818182,0.005681818181818182,0.004975124378109453,0.00398406374501992,0.009900990099009901,0.005681818181818182,0.06369426751592357,0.008037642091542695,0.32118112784312564,60,0.19270867670587538
Esteban Ocon,250.0,200.0,275.0,200.0,275.0,200.0,250.0,400.0,400.0,200.0,200.0,175.0,175.0,200.0,250.0,200.0,175.0,14.7,0.00398406374501992,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.00398406374501992,0.0024937655860349127,0.0024937655860349127,0.004975124378109453,0.004975124378109453,0.005681818181818182,0.005681818181818182,0.004975124378109453,0.00398406374501992,0.004975124378109453,0.005681818181818182,0.06369426751592357,0.007763982884826003,0.31024580979127986,56,0.1737376534831167
Jack Doohan,250.0,200.0,275.0,200.0,275.0,200.0,250.0,400.0,400.0,200.0,200.0,175.0,175.0,200.0,250.0,200.0,175.0,14.7,0.00398406374501992,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.00398406374501992,0.0024937655860349127,0.0024937655860349127,0.004975124378109453,0.004975124378109453,0.005681818181818182,0.005681818181818182,0.004975124378109453,0.00398406374501992,0.004975124378109453,0.005681818181818182,0.06369426751592357,0.007763982884826003,0.31024580979127986,56,0.1737376534831167
Gabriel Bortoleto,250.0,200.0,275.0,200.0,275.0,200.0,500.0,400.0,400.0,200.0,200.0,175.0,175.0,200.0,500.0,200.0,175.0,14.7,0.00398406374501992,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.0036231884057971015,0.004975124378109453,0.001996007984031936,0.0024937655860349127,0.0024937655860349127,0.004975124378109453,0.004975124378109453,0.005681818181818182,0.005681818181818182,0.004975124378109453,0.001996007984031936,0.004975124378109453,0.005681818181818182,0.06369426751592357,0.007543087800271783,0.3014189260380485,60,0.18085135562282909
