Driver,B3,SK,PP,WH,FB,VC,LD,UN,SX,KN,BY,OE,S6,PUP,SI,LS,QN,WA,CE,G5,VT,AKB,BF,MA
Lando Norris,1.9090909090909092,1.9090909090909092,1.8333333333333335,1.9090909090909092,1.8333333333333335,1.9090909090909092,1,1.95,1.8333333333333335,1.95,1.9090909090909092,1.9090909090909092,1.9090909090909092,1.9090909090909092,1.8333333333333335,1.95,1.9090909090909092,1.9090909090909092,1,1.94,1.9,1.95,1.9523809523809523,1.9523809523809523
Oscar Piastri,4.333333333333334,3,4.2,3,4.2,4.333333333333334,4.5,4.25,4.333333333333334,4.25,4.333333333333334,4.333333333333334,3.25,3.25,4.333333333333334,4.25,4.25,3,4.5,4.2,,4.5,4.333333333333334,4.333333333333334
Max Verstappen,7.5,7.5,7.5,7.5,7.5,7,5,6,6.5,6,6,6,6,6,6.5,6,6,7.5,5,6,7.5,7.5,5.3,6.88
Lewis Hamilton,8.5,8.5,8.5,6,8.5,8,6,7,7.5,7,8,8.5,8.5,8.5,7.5,7,8,8.5,6,8.5,8.5,8,8.440000000000001,7.86
Charles Leclerc,14,14,14,14,14,14,12,10,12,10,12,14,14,14,12,10,13,14,12,12,14,14,14.2,14.7
George Russell,14,14,14,16,14,14,16,20,20,20,14,14,18,18,20,20,14,14,16,14,14,22,28,28
Kimi Antonelli,66,66,66,66,66,50,80,50,40,50,66,66,50,50,40,50,60,66,80,65,66,80,28,58
Yuki Tsunoda,100,100,100,100,100,100,250,150,250,150,150,100,150,150,250,150,150,125,250,125,100,150,293,283
Alex Albon,100,100,100,100,100,100,200,150,250,150,150,100,100,100,250,150,125,100,200,125,100,150,117,195
Carlos Sainz,150,150,150,200,150,150,250,200,250,200,150,150,150,150,250,200,150,150,250,150,150,150,117,254
Fernando Alonso,150,150,150,200,150,150,250,150,250,150,200,150,300,300,250,150,200,200,250,150,150,300,538,528
Liam Lawson,250,250,275,250,275,200,500,300,250,300,250,250,300,300,250,300,250,250,500,275,250,300,97,283
Lance Stroll,150,150,150,200,150,250,500,250,500,250,250,150,500,500,500,250,250,250,500,250,150,500,293,783
Nico Hulkenberg,1000,1000,500,750,500,500,1000,1000,750,1000,1000,500,750,750,750,1000,1000,750,1000,1000,1000,750,979,969
Oliver Bearman,1000,1000,500,1000,500,1000,1000,1000,1000,1000,1000,750,750,750,1000,1000,1000,1000,1000,1000,1000,750,979,969
Pierre Gasly,500,500,500,500,500,500,1000,500,750,500,600,500,500,500,750,500,750,500,1000,500,500,500,254,724
Gabriel Bortoleto,2000,2000,500,1000,500,1000,2000,2000,1000,2000,1000,750,1000,1000,1000,2000,1500,1500,2000,1000,2000,1000,979,969
Jack Doohan,2000,2000,500,1000,500,1000,1500,2000,1000,2000,1000,750,1000,1000,1000,2000,1500,1500,1500,1000,2000,1000,979,969
Isack Hadjar,2000,2000,500,1000,500,1000,1500,2000,1000,2000,1000,750,1000,1000,1000,2000,1500,1500,1500,1000,2000,1000,979,53
Esteban Ocon,2000,2000,500,1000,500,1000,1500,2000,1000,2000,1000,750,1000,1000,1000,2000,1500,1500,1500,1000,2000,1000,979,969
