Driver,B3,SK,PP,WH,FB,OE,WA
No Retirement,4,4,4,6.5,4,4,4
Jack Doohan,10,10,10,8,10,10,10
Gabriel Bortoleto,10,10,10,10,10,10,10
Oliver Bearman,10,10,10,12,10,10,10
Isack Hadjar,10,10,10,12,10,10,10
Kimi Antonelli,16,16,16,16,16,16,16
Yuki Tsunoda,16,16,13,16,13,16,16
Liam Lawson,16,16,16,16,16,16,16
Pierre Gasly,18,18,17,16,17,18,16
Nico Hulkenberg,18,18,19,18,19,18,18
Fernando Alonso,20,20,20,18,20,20,20
Carlos Sainz,20,20,20,20,20,20,20
Lance Stroll,20,20,20,16,20,20,20
Alex Albon,22,22,22,20,22,22,22
Esteban Ocon,22,22,22,20,22,22,22
Oscar Piastri,33,33,33,33,33,33,33
George Russell,33,33,30,33,30,33,33
Charles Leclerc,33,33,33,33,33,33,33
Lewis Hamilton,33,33,33,33,33,33,33
Lando Norris,33,33,30,33,30,33,33
Max Verstappen,33,33,30,33,30,33,33
