Driver,B3,PP,FB,FR,OE,S6,PUP,WA,AKB,BF,B3_probability,PP_probability,FB_probability,FR_probability,OE_probability,S6_probability,PUP_probability,WA_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Lando Norris,2.75,2.75,2.75,2.625,2.75,2.625,2.625,2.75,2.625,2.8,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.27586206896551724,0.26666666666666666,0.27586206896551724,0.27586206896551724,0.26666666666666666,0.27586206896551724,0.2631578947368421,0.26999395039322444,13.721956280060372,5,0.6860978140030185
Oscar Piastri,3.75,3.6,3.6,3.0,3.75,3.75,3.75,3.75,3.75,3.0,0.21052631578947367,0.2173913043478261,0.2173913043478261,0.25,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.25,0.21979405034324945,11.170636768101248,12,1.34047641217215
George Russell,6.0,6.0,6.0,7.5,6.0,6.0,6.0,6.0,6.0,1.01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11764705882352941,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.49751243781094534,0.17580166394916175,8.934802958210286,21,1.87630862122416
Max Verstappen,6.5,6.5,6.5,6.0,6.5,6.0,6.0,6.5,6.0,1.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.14285714285714285,0.13333333333333333,0.14285714285714285,0.14285714285714285,0.13333333333333333,0.14285714285714285,0.45454545454545453,0.16926406926406926,8.602541482295953,10,0.8602541482295953
Charles Leclerc,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.01,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.49751243781094534,0.14975124378109456,7.610837268968712,18,1.369950708414368
Lewis Hamilton,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.01,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.49751243781094534,0.14975124378109456,7.610837268968712,16,1.217733963034994
Yuki Tsunoda,28.0,25.0,25.0,25.0,28.0,28.0,28.0,25.0,28.0,1.01,0.034482758620689655,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.038461538461538464,0.034482758620689655,0.49751243781094534,0.08237723847605476,4.186674787321078,35,1.465336175562377
Kimi Antonelli,33.0,30.0,30.0,33.0,33.0,33.0,33.0,33.0,33.0,1.01,0.029411764705882353,0.03225806451612903,0.03225806451612903,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.49751243781094534,0.07679109197843799,3.9027689520137647,30,1.1708306856041295
Liam Lawson,66.0,70.0,70.0,66.0,66.0,66.0,66.0,66.0,66.0,1.01,0.014925373134328358,0.014084507042253521,0.014084507042253521,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.49751243781094534,0.06301590638357508,3.202669952732002,50,1.6013349763660012
Isack Hadjar,66.0,70.0,70.0,66.0,66.0,66.0,66.0,66.0,66.0,1.01,0.014925373134328358,0.014084507042253521,0.014084507042253521,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.49751243781094534,0.06301590638357508,3.202669952732002,45,1.441201478729401
Carlos Sainz,100.0,125.0,125.0,125.0,100.0,100.0,100.0,125.0,100.0,1.01,0.009900990099009901,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.49751243781094534,0.05787634200520266,2.9414608493581365,42,1.2354135567304174
Fernando Alonso,100.0,125.0,125.0,125.0,100.0,100.0,100.0,125.0,100.0,1.01,0.009900990099009901,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.49751243781094534,0.05787634200520266,2.9414608493581365,50,1.4707304246790682
Alex Albon,100.0,125.0,125.0,125.0,100.0,100.0,100.0,125.0,100.0,1.01,0.009900990099009901,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.49751243781094534,0.05787634200520266,2.9414608493581365,42,1.2354135567304174
Pierre Gasly,200.0,225.0,225.0,200.0,150.0,200.0,200.0,200.0,200.0,1.01,0.004975124378109453,0.004424778761061947,0.004424778761061947,0.004975124378109453,0.006622516556291391,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.49751243781094534,0.05428352581580174,2.7588624370550074,55,1.5173743403802542
