Driver,B3,SK,PP,FB,LD,SX,FR,OE,S6,PUP,SI,WA,CE,AKB,BF
Lando Norris,1.6153846153846154,1.7272727272727273,1.6153846153846154,1.6153846153846154,1.5714285714285714,1.7272727272727273,1.6666666666666665,1.6153846153846154,1.6666666666666665,1.6666666666666665,1.7272727272727273,1.6153846153846154,1.5714285714285714,1.6666666666666665,1.8333333333333335
Oscar Piastri,2.75,2.75,2.75,2.75,2,2.8,2.75,2.75,2.75,2.75,2.8,2.75,2,2.75,2.9
George Russell,10,9,10,10,8,9,12,11,11,11,9,8,8,11,12.8
Max Verstappen,18,18,14,14,16,14,16,16,16,16,14,16,16,16,27
Lewis Hamilton,20,20,20,20,20,16,20,20,20,20,16,20,20,20,34
Charles Leclerc,20,20,20,20,20,16,20,20,20,20,16,20,20,20,36
Yuki Tsunoda,100,100,125,125,150,66,100,100,100,100,66,100,150,100,92
Isack Hadjar,150,150,175,175,150,150,150,150,150,150,150,150,150,150,136
Kimi Antonelli,200,150,175,175,200,100,150,150,150,150,100,150,200,150,48
Liam Lawson,200,250,225,225,300,200,250,200,275,275,200,200,300,275,146
Alex Albon,400,400,425,425,150,300,300,300,300,300,300,300,150,300,117
Carlos Sainz,400,400,425,425,250,300,300,400,300,300,300,300,250,300,117
Pierre Gasly,1000,1000,500,500,250,1000,500,1000,750,750,1000,500,250,750,53
Fernando Alonso,500,500,500,500,1000,500,400,500,400,400,500,400,1000,400,117
Esteban Ocon,2000,2000,500,500,2000,1000,1000,1000,1000,1000,1000,1000,2000,1000,53
Nico Hulkenberg,2000,2000,500,500,1500,1000,1000,1000,1000,1000,1000,1000,1500,1000,53
Gabriel Bortoleto,2500,2000,500,500,2500,1000,1000,1000,1000,1000,1000,1000,2500,1000,53
Lance Stroll,1500,1500,500,500,2500,1000,1000,1000,1000,1000,1000,1000,2500,1000,53
Oliver Bearman,3000,2000,500,500,2500,1000,1000,1000,1000,1000,1000,1000,2500,1000,53
Jack Doohan,3000,2000,500,500,3000,1000,1000,1000,1000,1000,1000,1000,3000,1000,53
