Driver,B3,SK,PP,FB,LD,SX,FR,OE,S6,PUP,SI,WA,CE,AKB,BF,B3_probability,SK_probability,PP_probability,FB_probability,LD_probability,SX_probability,FR_probability,OE_probability,S6_probability,PUP_probability,SI_probability,WA_probability,CE_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Lando Norris,1.6153846153846154,1.7272727272727273,1.6153846153846154,1.6153846153846154,1.5714285714285714,1.7272727272727273,1.6666666666666663,1.6153846153846154,1.6666666666666663,1.6666666666666663,1.7272727272727273,1.6153846153846154,1.5714285714285714,1.6666666666666663,1.8333333333333333,0.38235294117647056,0.36666666666666664,0.38235294117647056,0.38235294117647056,0.38888888888888895,0.36666666666666664,0.3750000000000001,0.38235294117647056,0.3750000000000001,0.3750000000000001,0.36666666666666664,0.38235294117647056,0.38888888888888895,0.3750000000000001,0.35294117647058826,0.376165577342048,39.54150832430952,5,1.977075416215476
Oscar Piastri,2.75,2.75,2.75,2.75,2.0,2.8,2.75,2.75,2.75,2.75,2.8,2.75,2.0,2.75,2.9,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.2631578947368421,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2631578947368421,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.25641025641025644,0.2744039586144849,28.844602130917206,6,1.7306761278550322
George Russell,10.0,9.0,10.0,10.0,8.0,9.0,12.0,11.0,11.0,11.0,9.0,8.0,8.0,11.0,12.8,0.09090909090909091,0.1,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.1,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.07246376811594203,0.09258538562886391,9.732325382936907,18,1.7518185689286432
Max Verstappen,18.0,18.0,14.0,14.0,16.0,14.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,27.0,0.05263157894736842,0.05263157894736842,0.06666666666666667,0.06666666666666667,0.058823529411764705,0.06666666666666667,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06666666666666667,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.03571428571428571,0.05854882303798713,6.154493959530914,12,0.7385392751437097
Lewis Hamilton,20.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,20.0,34.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.02857142857142857,0.04784313725490196,5.029141218590507,20,1.0058282437181014
Charles Leclerc,20.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,20.0,36.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.02702702702702703,0.04774017715194186,5.018318330975336,15,0.7527477496463004
Yuki Tsunoda,100.0,100.0,125.0,125.0,150.0,66.0,100.0,100.0,100.0,100.0,66.0,100.0,150.0,100.0,92.0,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.007936507936507936,0.006622516556291391,0.014925373134328358,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.014925373134328358,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.010752688172043012,0.009928626947891839,1.0436704173812363,30,0.3131011252143709
Kimi Antonelli,200.0,150.0,175.0,175.0,200.0,100.0,150.0,150.0,150.0,150.0,100.0,150.0,200.0,150.0,48.0,0.004975124378109453,0.006622516556291391,0.005681818181818182,0.005681818181818182,0.004975124378109453,0.009900990099009901,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.02040816326530612,0.007523784590355359,0.7908798915412966,28,0.22144636963156306
Isack Hadjar,150.0,150.0,175.0,175.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,136.0,0.006622516556291391,0.006622516556291391,0.005681818181818182,0.005681818181818182,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.0072992700729927005,0.006542207007475052,0.6876991102516665,50,0.34384955512583326
Liam Lawson,200.0,250.0,225.0,225.0,300.0,200.0,250.0,200.0,275.0,275.0,200.0,200.0,300.0,275.0,146.0,0.004975124378109453,0.00398406374501992,0.004424778761061947,0.004424778761061947,0.0033222591362126247,0.004975124378109453,0.00398406374501992,0.004975124378109453,0.0036231884057971015,0.0036231884057971015,0.004975124378109453,0.004975124378109453,0.0033222591362126247,0.0036231884057971015,0.006802721088435374,0.004400674098730862,0.46258696167010716,45,0.20816413275154821
Alex Albon,400.0,400.0,425.0,425.0,150.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,150.0,300.0,117.0,0.0024937655860349127,0.0024937655860349127,0.002347417840375587,0.002347417840375587,0.006622516556291391,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006622516556291391,0.0033222591362126247,0.00847457627118644,0.0038653366217527483,0.406313733662865,40,0.162525493465146
Carlos Sainz,400.0,400.0,425.0,425.0,250.0,300.0,300.0,400.0,300.0,300.0,300.0,300.0,250.0,300.0,117.0,0.0024937655860349127,0.0024937655860349127,0.002347417840375587,0.002347417840375587,0.00398406374501992,0.0033222591362126247,0.0033222591362126247,0.0024937655860349127,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00847457627118644,0.003458310010238038,0.36352819687572374,40,0.1454112787502895
Pierre Gasly,1000.0,1000.0,500.0,500.0,250.0,1000.0,500.0,1000.0,750.0,750.0,1000.0,500.0,250.0,750.0,53.0,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.001996007984031936,0.00398406374501992,0.0013315579227696406,0.018518518518518517,0.0028973571138666684,0.3045623452469212,50,0.1522811726234606
Fernando Alonso,500.0,500.0,500.0,500.0,1000.0,500.0,400.0,500.0,400.0,400.0,500.0,400.0,1000.0,400.0,117.0,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.0024937655860349127,0.001996007984031936,0.0024937655860349127,0.0024937655860349127,0.001996007984031936,0.0024937655860349127,0.000999000999000999,0.0024937655860349127,0.00847457627118644,0.002460897472505771,0.2586828879503699,50,0.12934144397518496
Nico Hulkenberg,2000.0,2000.0,500.0,500.0,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1500.0,1000.0,53.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.001996007984031936,0.0006662225183211193,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0006662225183211193,0.000999000999000999,0.018518518518518517,0.0021889658510071794,0.23009817121178272,58,0.13345693930283398
Lance Stroll,1500.0,1500.0,500.0,500.0,2500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2500.0,1000.0,53.0,0.0006662225183211193,0.0006662225183211193,0.001996007984031936,0.001996007984031936,0.00039984006397441024,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00039984006397441024,0.000999000999000999,0.018518518518518517,0.0021756445095454297,0.22869786781873255,55,0.1257838273003029
Esteban Ocon,2000.0,2000.0,500.0,500.0,2000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,53.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.001996007984031936,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.018518518518518517,0.002166769531889367,0.22776495416580103,58,0.13210367341616458
Gabriel Bortoleto,2500.0,2000.0,500.0,500.0,2500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2500.0,1000.0,53.0,0.00039984006397441024,0.0004997501249375312,0.001996007984031936,0.001996007984031936,0.00039984006397441024,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00039984006397441024,0.000999000999000999,0.018518518518518517,0.002146787519696743,0.22566449907622582,60,0.1353986994457355
Oliver Bearman,3000.0,2000.0,500.0,500.0,2500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2500.0,1000.0,53.0,0.0003332222592469177,0.0004997501249375312,0.001996007984031936,0.001996007984031936,0.00039984006397441024,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00039984006397441024,0.000999000999000999,0.018518518518518517,0.00214234633271491,0.22519765350983242,60,0.13511859210589944
Jack Doohan,3000.0,2000.0,500.0,500.0,3000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3000.0,1000.0,53.0,0.0003332222592469177,0.0004997501249375312,0.001996007984031936,0.001996007984031936,0.0003332222592469177,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0003332222592469177,0.000999000999000999,0.018518518518518517,0.0021334639587512446,0.22426396237704557,60,0.13455837742622734
