Driver,B3,PP,WH,FB,UN,FR,KN,OE,S6,PUP,LS,WA,AKB,BF,B3_probability,PP_probability,WH_probability,FB_probability,UN_probability,FR_probability,KN_probability,OE_probability,S6_probability,PUP_probability,LS_probability,WA_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Lando Norris,1.1428571428571428,1.2222222222222223,1.125,1.2222222222222223,1.3,1.181818181818182,1.3,1.1428571428571428,1.1666666666666667,1.1666666666666667,1.3,1.1428571428571428,1.1666666666666667,1.3,0.4666666666666667,0.44999999999999996,0.47058823529411764,0.44999999999999996,0.4347826086956522,0.45833333333333326,0.4347826086956522,0.4666666666666667,0.46153846153846145,0.46153846153846145,0.4347826086956522,0.4666666666666667,0.46153846153846145,0.4347826086956522,0.4537619562875318,18.60395265592097,5,0.9301976327960486
Oscar Piastri,1.2,1.3333333333333333,1.2,1.3333333333333333,1.4,1.2,1.4,1.2,1.181818181818182,1.181818181818182,1.4,1.2,1.181818181818182,1.6153846153846154,0.45454545454545453,0.4285714285714286,0.45454545454545453,0.4285714285714286,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.45833333333333326,0.45833333333333326,0.4166666666666667,0.45454545454545453,0.45833333333333326,0.38235294117647056,0.4383730765033286,17.973018336800656,6,1.0783811002080395
George Russell,1.0,2.25,1.9090909090909087,2.25,1.85,2.1,1.85,1.0,1.0,1.0,1.85,1.0,1.0,2.05,0.5,0.3076923076923077,0.34375000000000006,0.3076923076923077,0.3508771929824561,0.3225806451612903,0.3508771929824561,0.5,0.5,0.5,0.3508771929824561,0.5,0.5,0.3278688524590164,0.4044439779965922,16.581946799112238,15,2.487292019866836
Max Verstappen,1.0,1.6666666666666663,2.1,1.6666666666666663,2.45,2.1,2.45,1.0,2.1,2.1,2.45,1.0,2.1,2.3,0.5,0.3750000000000001,0.3225806451612903,0.3750000000000001,0.2898550724637681,0.3225806451612903,0.2898550724637681,0.5,0.3225806451612903,0.3225806451612903,0.2898550724637681,0.5,0.3225806451612903,0.30303030303030304,0.3596784818734328,14.746589826245286,10,1.4746589826245287
Lewis Hamilton,4.5,3.5,4.5,3.5,3.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,3.5,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.2222222222222222,0.2222222222222222,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.1991341991341991,8.164375971880421,16,1.3063001555008673
Charles Leclerc,4.5,3.5,4.333333333333334,3.5,3.75,4.5,3.75,4.5,4.5,4.5,3.75,4.5,4.5,3.5,0.18181818181818182,0.2222222222222222,0.18749999999999997,0.2222222222222222,0.21052631578947367,0.18181818181818182,0.21052631578947367,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.21052631578947367,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.19703377762588287,8.078260021090065,12,0.9693912025308077
Yuki Tsunoda,8.0,6.0,7.5,6.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,4.5,0.1111111111111111,0.14285714285714285,0.11764705882352941,0.14285714285714285,0.125,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.18181818181818182,0.12413980743812679,5.089653436769432,20,1.0179306873538865
Kimi Antonelli,20.0,16.0,20.0,16.0,20.0,25.0,20.0,25.0,25.0,25.0,20.0,20.0,25.0,10.8,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.038461538461538464,0.047619047619047616,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.047619047619047616,0.038461538461538464,0.0847457627118644,0.048601057111240846,1.9926125427586452,25,0.49815313568966135
Isack Hadjar,20.0,16.0,16.0,16.0,20.0,25.0,20.0,20.0,25.0,25.0,20.0,20.0,25.0,19.6,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.047619047619047616,0.038461538461538464,0.047619047619047616,0.047619047619047616,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.047619047619047616,0.038461538461538464,0.04854368932038835,0.047469622651151566,1.9462244468922734,45,0.875801001101523
Liam Lawson,20.0,25.0,20.0,25.0,40.0,25.0,40.0,25.0,25.0,25.0,40.0,20.0,25.0,25.0,0.047619047619047616,0.038461538461538464,0.047619047619047616,0.038461538461538464,0.024390243902439025,0.038461538461538464,0.024390243902439025,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.024390243902439025,0.047619047619047616,0.038461538461538464,0.038461538461538464,0.037408584446911974,1.5337282562630181,35,0.5368048896920563
