Driver,B3,SK,PP,WH,FB,LD,UN,SX,FR,KN,BY,OE,S6,PUP,SI,LS,QN,WA,CE,G5,BF,MA
Lando Norris,2.25,2.2,2.25,2.25,2.25,1,2.25,2.25,2.375,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,1,2.1799999999999997,2.2,2.2
Oscar Piastri,2.625,2.625,2.6,2.5,2.6,2.875,2.75,2.7,2.75,2.75,2.625,2.625,2.75,2.75,2.7,2.75,2.625,2.625,2.875,2.625,2.75,2.75
George Russell,10,10,10,9,10,8,8,10,10,8,9,10,10,10,10,8,9,8,8,10,12.3,14.2
Max Verstappen,10,12,10,12,10,12,9,9,10,9,10,10,10,10,9,9,10,10,12,10,14.7,14.2
Lewis Hamilton,16,16,16,16,16,16,16,14,18,16,16,16,16,16,14,16,16,16,16,16,23,22
Charles Leclerc,16,16,16,16,16,16,16,14,18,16,16,16,16,16,14,16,16,16,16,16,25,25
Yuki Tsunoda,33,33,30,25,30,40,40,28,33,40,33,33,33,33,28,40,33,33,40,33,44,42
Kimi Antonelli,100,100,125,66,125,100,150,100,100,150,100,80,100,100,100,150,125,100,100,95,73,107
Isack Hadjar,100,100,125,100,125,150,150,150,100,150,100,100,100,100,150,150,100,100,150,100,117,381
Alex Albon,200,200,225,150,225,150,250,250,200,250,200,200,200,200,250,250,200,200,150,150,234,283
Liam Lawson,100,100,125,100,125,200,250,150,100,250,150,100,100,100,150,250,125,100,200,100,117,244
Pierre Gasly,200,200,225,250,225,200,250,250,250,250,200,200,250,250,250,250,200,200,200,200,244,528
Fernando Alonso,200,200,225,250,225,300,250,250,250,250,200,200,250,250,250,250,200,200,300,250,195,322
Carlos Sainz,200,200,225,250,225,200,300,250,200,300,200,200,200,200,250,300,200,200,200,200,234,332
Lance Stroll,500,500,500,500,500,1000,1000,500,500,1000,600,500,500,500,500,1000,500,500,1000,500,53,675
Nico Hulkenberg,1000,1000,500,1000,500,1500,1000,1000,500,1000,900,1000,750,750,1000,1000,1000,750,1500,1000,53,577
Gabriel Bortoleto,2000,2000,500,1500,500,2000,2000,1000,1000,2000,1000,1000,1000,1000,1000,2000,1500,1500,2000,2000,979,969
Oliver Bearman,3000,2000,500,1500,500,1000,2000,1000,1000,2000,1000,1000,1000,1000,1000,2000,1500,1500,1000,1000,979,969
Jack Doohan,3000,2000,500,2500,500,2000,2000,1000,1000,2000,1000,1000,1000,1000,1000,2000,1500,1500,2000,2000,979,969
Esteban Ocon,3000,2000,500,1500,500,500,2000,1000,500,2000,1000,1000,750,750,1000,2000,1500,1500,500,500,979,969
