Driver,B3,SK,PP,WH,FB,LD,UN,SX,FR,KN,BY,OE,S6,PUP,SI,LS,QN,WA,CE,G5,BF,MA,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,LD_probability,UN_probability,SX_probability,FR_probability,KN_probability,BY_probability,OE_probability,S6_probability,PUP_probability,SI_probability,LS_probability,QN_probability,WA_probability,CE_probability,G5_probability,BF_probability,MA_probability,average_probability,normalized_probability
Lando Norris,2.25,2.2,2.25,2.25,2.25,1.0,2.25,2.25,2.375,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,1.0,2.18,2.2,2.2,0.3076923076923077,0.3125,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.5,0.3076923076923077,0.3076923076923077,0.2962962962962963,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.5,0.31446540880503143,0.3125,0.3125,0.3256202872948155,33.355828544266465
Oscar Piastri,2.625,2.625,2.6,2.5,2.6,2.875,2.75,2.7,2.75,2.75,2.625,2.625,2.75,2.75,2.7,2.75,2.625,2.625,2.875,2.625,2.75,2.75,0.27586206896551724,0.27586206896551724,0.2777777777777778,0.2857142857142857,0.2777777777777778,0.25806451612903225,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.26666666666666666,0.27586206896551724,0.27586206896551724,0.26666666666666666,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.27586206896551724,0.27586206896551724,0.25806451612903225,0.27586206896551724,0.26666666666666666,0.26666666666666666,0.27101396500729086,27.76207657387248
George Russell,10.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,12.3,14.2,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.07518796992481203,0.06578947368421052,0.09580200501253135,9.813747417100295
Max Verstappen,10.0,12.0,10.0,12.0,10.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,10.0,14.7,14.2,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.1,0.1,0.09090909090909091,0.1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1,0.1,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.06369426751592357,0.06578947368421052,0.08805345676783825,9.020003117983725
Lewis Hamilton,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,18.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,23.0,22.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06666666666666667,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.041666666666666664,0.043478260869565216,0.05777771999167881,5.918623000219188
Charles Leclerc,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,18.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,25.0,25.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06666666666666667,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.038461538461538464,0.038461538461538464,0.05740399950926268,5.880339893111471
Yuki Tsunoda,33.0,33.0,30.0,25.0,30.0,40.0,40.0,28.0,33.0,40.0,33.0,33.0,33.0,33.0,28.0,40.0,33.0,33.0,40.0,33.0,44.0,42.0,0.029411764705882353,0.029411764705882353,0.03225806451612903,0.038461538461538464,0.03225806451612903,0.024390243902439025,0.024390243902439025,0.034482758620689655,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.034482758620689655,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.022222222222222223,0.023255813953488372,0.02879500397645024,2.94969709519459
Kimi Antonelli,100.0,100.0,125.0,66.0,125.0,100.0,150.0,100.0,100.0,150.0,100.0,80.0,100.0,100.0,100.0,150.0,125.0,100.0,100.0,95.0,73.0,107.0,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.014925373134328358,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.012345679012345678,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.010416666666666666,0.013513513513513514,0.009259259259259259,0.009684020734255472,0.9920098588282587
Isack Hadjar,100.0,100.0,125.0,100.0,125.0,150.0,150.0,150.0,100.0,150.0,100.0,100.0,100.0,100.0,150.0,150.0,100.0,100.0,150.0,100.0,117.0,381.0,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.009900990099009901,0.00847457627118644,0.002617801047120419,0.008283359098839609,0.8485291508305931
Alex Albon,200.0,200.0,225.0,150.0,225.0,150.0,250.0,250.0,200.0,250.0,200.0,200.0,200.0,200.0,250.0,250.0,200.0,200.0,150.0,150.0,234.0,283.0,0.004975124378109453,0.004975124378109453,0.004424778761061947,0.006622516556291391,0.004424778761061947,0.006622516556291391,0.00398406374501992,0.00398406374501992,0.004975124378109453,0.00398406374501992,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.004975124378109453,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.00425531914893617,0.0035211267605633804,0.004900568535676077,0.5020034998539258
Liam Lawson,100.0,100.0,125.0,100.0,125.0,200.0,250.0,150.0,100.0,250.0,150.0,100.0,100.0,100.0,150.0,250.0,125.0,100.0,200.0,100.0,117.0,244.0,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.007936507936507936,0.004975124378109453,0.00398406374501992,0.006622516556291391,0.009900990099009901,0.00398406374501992,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.00398406374501992,0.007936507936507936,0.009900990099009901,0.004975124378109453,0.009900990099009901,0.00847457627118644,0.004081632653061225,0.007602028785682429,0.7787351668731195
Pierre Gasly,200.0,200.0,225.0,250.0,225.0,200.0,250.0,250.0,250.0,250.0,200.0,200.0,250.0,250.0,250.0,250.0,200.0,200.0,200.0,200.0,244.0,528.0,0.004975124378109453,0.004975124378109453,0.004424778761061947,0.00398406374501992,0.004424778761061947,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.004975124378109453,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004081632653061225,0.001890359168241966,0.004338829202345066,0.44446015375339526
Fernando Alonso,200.0,200.0,225.0,250.0,225.0,300.0,250.0,250.0,250.0,250.0,200.0,200.0,250.0,250.0,250.0,250.0,200.0,200.0,300.0,250.0,195.0,322.0,0.004975124378109453,0.004975124378109453,0.004424778761061947,0.00398406374501992,0.004424778761061947,0.0033222591362126247,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.004975124378109453,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.004975124378109453,0.004975124378109453,0.0033222591362126247,0.00398406374501992,0.00510204081632653,0.0030959752321981426,0.004244703434633169,0.43481811641143786
Carlos Sainz,200.0,200.0,225.0,250.0,225.0,200.0,300.0,250.0,200.0,300.0,200.0,200.0,200.0,200.0,250.0,300.0,200.0,200.0,200.0,200.0,234.0,332.0,0.004975124378109453,0.004975124378109453,0.004424778761061947,0.00398406374501992,0.004424778761061947,0.004975124378109453,0.0033222591362126247,0.00398406374501992,0.004975124378109453,0.0033222591362126247,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00398406374501992,0.0033222591362126247,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00425531914893617,0.003003003003003003,0.004442197311594279,0.4550489563053076
Lance Stroll,500.0,500.0,500.0,500.0,500.0,1000.0,1000.0,500.0,500.0,1000.0,600.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,1000.0,500.0,53.0,675.0,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.0016638935108153079,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.018518518518518517,0.0014792899408284023,0.002481855397346106,0.25423582723697546
Nico Hulkenberg,1000.0,1000.0,500.0,1000.0,500.0,1500.0,1000.0,1000.0,500.0,1000.0,900.0,1000.0,750.0,750.0,1000.0,1000.0,1000.0,750.0,1500.0,1000.0,53.0,577.0,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.0006662225183211193,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0011098779134295228,0.000999000999000999,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0006662225183211193,0.000999000999000999,0.018518518518518517,0.0017301038062283738,0.0019846660901924715,0.20330484433895954
